partnumber,releasedate
CMPT-RTX-0-13,1960-01-01
CMPT-RTX-3-1270,1960-01-01
CMPT-RTX-3-1290,1960-01-01
CMPT-RTX-3-1310,1960-01-01
CMPT-RTX-3-1330,1960-01-01
CMPT-RTX-3-1350,1960-01-01
CMPT-RTX-3-1370,1960-01-01
CMPT-RTX-3-1430,1960-01-01
CMPT-RTX-3-1450,1960-01-01
CMPT-RTX-3-1470,1960-01-01
CMPT-RTX-3-1490,1960-01-01
CMPT-RTX-3-1510,1960-01-01
CMPT-RTX-3-1530,1960-01-01
CMPT-RTX-3-1550,1960-01-01
CMPT-RTX-3-1570,1960-01-01
CMPT-RTX-3-1590,1960-01-01
CMPT-RTX-3-1610,1960-01-01
CMPT-RTX-6-1310,1960-01-01
CMPT-RTX-6-1490,1960-01-01
CMPT-RTX-6-1510,1960-01-01
CMPT-RTX-6-1530,1960-01-01
CMPT-RTX-6-1550,1960-01-01
CMPT-RTX-6-1570,1960-01-01
CMPT-RTX-6-1590,1960-01-01
CMPT-RTX-6-1610,1960-01-01
LCC/M-FC-FBR-10,2004-05-24
LCC/M-FC-FBR-20,2004-05-24
C1100TG-1N24P32A,2020-05-15
C1100TG-1N32A,2020-05-15
C1100TGX-1N24P32A,2020-05-15
CG418-E,2017-10-06
CHAS-RFGW-1,2007-06-15
IAD2431-16FXS,2001-10-09
IC3000-2C2F-K9,2015-06-30
RFGW1A6AAUV08PP000,2007-06-15
SPA8000-G1,2008-11-25
SPA8000-G4,2008-11-25
SPA8000-G5,2008-11-25
SPA8800,2008-11-25
CGM-4G-LTE-EA-900,2011-11-30
CGM-4G-LTE-EA-AB,2011-11-30
CGM-4G-LTE-MNA,2011-11-30
CGM-4G-LTE-MNA-AB,2011-11-30
RFGW-1-PS-AC,2007-06-15
RFGW-1-QAM-MOD,2007-06-15
ATA190,2014-09-30
ATA191-K9,2014-09-30
CP-7902G,1960-01-01
CP-7905G,1960-01-01
CP-7916,1960-01-01
CP-7925G-A-K9,1960-01-01
CP-7925G-E-K9,1960-01-01
CP-7925G-EX-K9,1960-01-01
CP-7925G-W-K9,1960-01-01
CP-7926G-W-K9,1960-01-01
CP-7926G-W-K9-BUN,1960-01-01
CP-7942G,1960-01-01
CP-7945G,1960-01-01
CP-7945G-CH1,1960-01-01
CP-7962G,1960-01-01
CP-7965G,1960-01-01
CP-7975G,1960-01-01
CP-8821-EX-K9,2013-03-18
CP-8821-K9,2013-03-18
CP-8831-BASE-S,2013-03-18
CP-8831-BASE-S-JP,2013-03-18
CP-8831-DC-CBL,2013-03-18
CP-8831-DCU-S,2013-03-18
CP-8832-3PCC-K9,2013-03-18
CP-8832-3PC-EU-K9,2013-03-18
CP-8832-3PC-NR-K9,2013-03-18
CP-8832-EU-K9,2013-03-18
CP-8832-EU-W-K9,2013-03-18
CP-8832-K9,2013-03-18
CP-8832-NR-K9,2013-03-18
CP-8832-W-K9,2013-03-18
CP-8845-K9,2013-03-18
SPA301-G1,2010-06-16
SPA301-G2,2010-06-16
SPA301-G3,2010-06-16
SPA303-G1,2010-06-16
SPA303-G2,2010-06-16
SPA303-G3,2010-06-16
SPA303-G4,2010-06-16
SPA303-R2,2010-06-16
SPA500DS,2009-08-03
SPA500S,2009-08-03
SPA501G,2009-08-03
SPA502G,2009-08-03
SPA504G,2009-08-03
SPA508G,2009-08-03
SPA509G,2009-08-03
SPA512G,2009-08-03
SPA514G,2009-08-03
SPA525G2,2009-08-03
SPA525G2-EU,2009-08-03
CP-BATT-7925G-EXT,1960-01-01
CP-BEKEM,2013-03-18
CP-DSKCH-7925G,1960-01-01
CP-DSKCH-7925G-BUN,1960-01-01
CP-DSKCH-8821-EX,2013-03-18
CP-HS-W-521-USBC,2018-03-05
CP-HS-W-522-USBC,2018-03-05
CP-HS-W-531-USBC,2018-03-05
CP-HS-W-532-USBC,2018-03-05
CP-MCHGR-7925G-BUN,1960-01-01
CP-MIC-CHARGER-S,2013-03-18
CP-MIC-WRLS-S-US,2013-03-18
CP-PWR-CUBE-3,2013-10-22
CP-PWR-CUBE-4,2013-03-18
CP-PWR-INJ,1960-01-01
CS-POE-INJ,2017-03-23
PA100-NA,2009-08-03
A9K-9001-AIP-LIC,2008-11-11
A9K-9001-OPT-LIC,2008-11-11
FL-44-PERF-K9,2014-09-16
LIC-CT3504-1A,2017-03-28
LIC-CT5520-1A,2009-05-18
PROMOCT5520-100-K9,2009-05-18
SL-44-UC-K9,2014-09-16
CFP2-100G-ER4,2003-07-01
CFP2-WDM-D-1HL,2015-11-16
CPAK-100GE-LR4,2003-07-01
CPAK-100G-ER4L,2003-07-01
CPAK-100G-LR4,2003-07-01
CPAK-100G-SR10,2003-07-01
CPAK-100G-SR4,2003-07-01
CPAK-10X10G-LR,2003-07-01
CVR-CPAK-QSFP40,2003-07-01
CVR-QSFP-SFP10G,2014-07-11
CWDM-SFP10G-1470,2003-07-01
CWDM-SFP10G-1490,2003-07-01
CWDM-SFP10G-1510,2003-07-01
CWDM-SFP10G-1530,2003-07-01
CWDM-SFP10G-1550,2003-07-01
CWDM-SFP10G-1570,2003-07-01
CWDM-SFP10G-1590,2003-07-01
DS-SFP-FC16GELW,2004-09-17
DS-SFP-FC16G-LW,2004-09-17
DS-SFP-FC16G-SW,2004-09-17
DS-SFP-FC32G-LW,2004-09-17
DS-SFP-FC32G-SW,2004-09-17
DS-SFP-FC4G-SW,2004-09-17
DS-SFP-FC8G-ER,2004-09-17
DS-SFP-FC8G-LW,2004-09-17
DS-SFP-FC8G-SW,2004-09-17
DS-SFP-FCGE-LW,2003-09-09
DS-SFP-FCGE-SW,2003-09-09
DS-SFP-GE-T,2003-09-09
DWDM-SFP10G-C,2015-12-08
DWDM-XFP-C,2011-09-11
FET-10G,2014-07-11
FET-40G,2014-07-11
FS4K-NIC-SFP,2014-05-18
GLC-2BX-D,2003-07-01
GLC-2BX-D-I,2003-07-01
GLC-BX40-DA-I,2003-07-01
GLC-BX40-D-I,2003-07-01
GLC-BX40-U-I,2003-07-01
GLC-BX80-D-I,2003-07-01
GLC-BX80-U-I,2003-07-01
GLC-BX-D,2003-07-01
GLC-BX-U,2003-07-01
GLC-EX-SMD,2003-07-01
GLC-FE-100BX-D,2003-01-02
GLC-FE-100BX-U,2003-01-02
GLC-FE-100EX,2003-01-02
GLC-FE-100FX,2003-01-02
GLC-FE-100FX-RGD,2003-01-02
GLC-FE-100LX,2003-01-02
GLC-FE-100LX-RGD,2010-05-24
GLC-FE-100ZX,2003-01-02
GLC-FE-T-I,2003-01-02
GLC-GE-100FX,2003-01-02
GLC-GE-DR-LX,2003-07-01
GLC-LH-SM,2002-10-01
GLC-LH-SMD,2005-04-12
GLC-LX-SM-RGD,2003-07-01
GLC-SX-MM,2002-10-01
GLC-SX-MMD,2005-04-12
GLC-SX-MM-RGD,2003-07-01
GLC-T,2002-10-01
GLC-TE,2003-07-01
GLC-T-RGD,2003-07-01
GLC-ZX-SM,2002-10-01
GLC-ZX-SMD,2005-04-12
GLC-ZX-SM-RGD,2003-07-01
MGBLH1,2008-11-25
MGBLX1,2008-11-25
MGBSX1,2008-11-25
MGBT1,2008-11-25
ONS-CXP2-SR25,2013-09-23
ONS-SC+-10G-ER,2015-12-08
ONS-SC+-10G-LR,2015-12-08
ONS-SC+-10G-SR,2015-12-08
ONS-SC+-10G-ZR,2015-12-08
ONS-SC-155-TSOP,2011-09-11
ONS-SC-2GE-BX-D,2015-12-08
ONS-SC-622-TSOP,2011-09-11
ONS-SC-GE-LX,2015-12-08
ONS-SE-Z1,2015-12-08
ONS-SE-ZE-EL,2015-12-08
ONS-SI-155-I1,2015-12-08
ONS-SI-155-L1,2015-12-08
ONS-SI-155-L2,2015-12-08
ONS-SI-155-SR-MM,2015-12-08
ONS-SI-2G-I1,2015-12-08
ONS-SI-2G-L1,2015-12-08
ONS-SI-2G-L2,2015-12-08
ONS-SI-2G-S1,2013-09-23
ONS-SI-622-I1,2015-12-08
ONS-SI-622-L1,2015-12-08
ONS-SI-GE-LX,2015-12-08
ONS-SI-GE-SX,2015-12-08
ONS-SI-GE-ZX,2015-12-08
ONS-XC-10G-C,2013-06-05
ONS-XC-10G-L2,2004-02-16
ONS-XC-10G-S1,2004-02-16
P2-RRX-STD,1960-01-01
QDD-400G-FR4-S,2013-09-23
QDD-400G-LR8-S,2003-07-01
QSFP-100G-AOC10M,2003-07-01
QSFP-100G-AOC15M,2003-07-01
QSFP-100G-AOC1M,2003-07-01
QSFP-100G-AOC25M,2003-07-01
QSFP-100G-AOC2M,2003-07-01
QSFP-100G-AOC30M,2003-07-01
QSFP-100G-AOC3M,2003-07-01
QSFP-100G-AOC5M,2003-07-01
QSFP-100G-AOC7M,2003-07-01
QSFP-100G-CU1M,2003-07-01
QSFP-100G-CU3M,2003-07-01
QSFP-100G-CU5M,2003-07-01
QSFP-100G-CWDM4-S,2003-07-01
QSFP-100G-ER4L-S,2003-07-01
QSFP-100G-FR-S,2003-07-01
QSFP-100G-LR4-S,2003-07-01
QSFP-100G-LR-S,2003-07-01
QSFP-100G-PSM4-S,2003-07-01
QSFP-100G-SM-SR,2003-07-01
QSFP-100G-SR4-S,2003-07-01
QSFP-40/100-SRBD,2003-07-01
QSFP-40G-CSR4,2009-04-16
QSFP-40G-CSR-S,2009-04-16
QSFP-40G-ER4,2015-12-08
QSFP-40G-LR4,2009-04-16
QSFP-40G-LR4-S,2009-04-16
QSFP-40G-SR4,2009-04-16
QSFP-40G-SR4-S,2009-04-16
QSFP-40G-SR-BD,2009-04-16
QSFP-4SFP10G-CU1M,2009-04-16
QSFP-4SFP10G-CU3M,2009-04-16
QSFP-4SFP10G-CU5M,2009-04-16
QSFP-4SFP25G-CU5M,2003-07-01
QSFP-4X10G-AOC10M,2009-04-16
QSFP-4X10G-AOC1M,2009-04-16
QSFP-4X10G-AOC2M,2009-04-16
QSFP-4X10G-AOC3M,2009-04-16
QSFP-4X10G-AOC5M,2009-04-16
QSFP-4X10G-AOC7M,2009-04-16
QSFP-4X10G-LR-S,2018-07-23
QSFP-H40G-ACU10M,2009-04-16
QSFP-H40G-ACU7M,2009-04-16
QSFP-H40G-AOC10M,2009-04-16
QSFP-H40G-AOC15M,2009-04-16
QSFP-H40G-AOC1M,2009-04-16
QSFP-H40G-AOC2M,2009-04-16
QSFP-H40G-AOC3M,2009-04-16
QSFP-H40G-AOC5M,2009-04-16
QSFP-H40G-AOC7M,2009-04-16
QSFP-H40G-CU1M,2009-04-16
QSFP-H40G-CU3M,2009-04-16
QSFP-H40G-CU5M,2009-04-16
SFP-10/25G-CSR-S,2003-07-01
SFP-10/25G-LR-S,2003-07-01
SFP-10G-AOC10M,2003-07-01
SFP-10G-AOC1M,2003-07-01
SFP-10G-AOC2M,2003-07-01
SFP-10G-AOC3M,2003-07-01
SFP-10G-AOC5M,2003-07-01
SFP-10G-AOC7M,2003-07-01
SFP-10G-BX40D-I,2003-07-01
SFP-10G-BX40U-I,2003-07-01
SFP-10G-BXD-I,2003-07-01
SFP-10G-BXU-I,2003-07-01
SFP-10G-ER,2004-09-17
SFP-10G-ER-S,2003-07-01
SFP-10G-LR,2004-09-17
SFP-10G-LRM,2003-07-01
SFP-10G-LR-S,2003-07-01
SFP-10G-LR-X,2005-04-12
SFP-10G-SR,2004-09-17
SFP-10G-SR-S,2003-07-01
SFP-10G-SR-X,2005-04-12
SFP-10G-T-X,2003-07-01
SFP-10G-ZR,2003-07-01
SFP-10G-ZR-S,2003-07-01
SFP-25G-AOC10M,2003-07-01
SFP-25G-AOC1M,2003-07-01
SFP-25G-AOC2M,2003-07-01
SFP-25G-AOC3M,2003-07-01
SFP-25G-AOC4M,2003-07-01
SFP-25G-AOC5M,2003-07-01
SFP-25G-AOC7M,2003-07-01
SFP-25G-SR-S,2003-07-01
SFP-GE-L,2015-12-08
SFP-GE-S,2015-12-08
SFP-GE-T,2005-04-12
SFP-GE-Z,2005-04-12
SFP-H10GB-ACU10M,2003-07-01
SFP-H10GB-ACU7M,2003-07-01
SFP-H10GB-CU1-5M,2003-07-01
SFP-H10GB-CU1M,2003-07-01
SFP-H10GB-CU2M,2003-07-01
SFP-H10GB-CU3M,2003-07-01
SFP-H10GB-CU5M,2003-07-01
SFP-H25G-CU1M,2003-07-01
SFP-H25G-CU5M,2003-07-01
SFP-OC12-IR1,2003-01-02
SFP-OC12-LR2,2003-01-02
SFP-OC12-MM,2003-01-02
SFP-OC12-SR,2003-01-02
SFP-OC3-IR1,2003-01-02
SFP-OC3-LR1,2003-01-02
SFP-OC3-LR2,2003-01-02
SFP-OC3-MM,2003-01-02
SFP-OC3-SR,2003-01-02
SFP-OC48-IR1,2003-01-02
SFP-OC48-SR,2003-01-02
SM-2GE-SFP-CU,2009-10-13
VIP-SFP+-10GE-SR,2018-03-14
X2-10GB-ER,2002-10-01
X2-10GB-LR,2002-10-01
X2-10GB-LRM,2002-10-01
X2-10GB-LX4,2002-10-01
X2-10GB-SR,2002-10-01
XENPAK-10GB-ER+,2002-10-01
XENPAK-10GB-LR+,2002-10-01
XENPAK-10GB-SR,2002-10-01
XENPAK-10GB-ZR,2002-10-01
XFP10GER-192IR-L,2003-04-01
XFP10GER192IR-RGD,2003-04-01
XFP10GLR-192SR-L,2003-04-01
XFP10GLR192SR-RGD,2003-04-01
XFP-10GLR-OC192SR,2003-04-01
XFP-10G-MM-SR,2003-04-01
XFP-10GZR-OC192LR,2003-04-01
15454-10G-S1,2002-07-26
15454-10G-XR,2002-07-26
15454-40-SMR1-C,2013-09-23
15454-AIC-I,2002-07-26
15454-AR-XP-LIC,2013-06-05
15454-CE-1000-4,2002-07-26
15454-CE-MR-10,2002-07-26
15454-DS1E1-56,2002-07-26
15454-DS3-12E,2002-07-26
15454-DS3EC1-48,2002-07-26
15454-DS3N-12E,2002-07-26
15454E-10G-I1,2002-07-26
15454E-AIC-I,2002-07-26
15454E-AP-MIC48V,2002-07-26
15454E-CC-FTA,2002-07-26
15454E-CTP-MIC48V,2002-07-26
15454E-E1-42,2002-07-26
15454-EIA-1AMPA84,2002-07-26
15454-G1K-4,2002-07-26
15454-M-100G-LC-C,2013-09-23
15454-M-100G-ME-C,2013-09-23
15454-M6-DC,2013-06-05
15454-M6-DR,2013-06-05
15454-M6-ECU2,2013-06-05
15454-M6-FTA2,2013-06-05
15454-M6-LCD,2013-06-05
15454-M6-SA,2013-06-05
15454-ML1000-2,2002-07-26
15454-ML-MR-10,2002-07-26
15454-MRC-I-12,2002-07-26
15454-M-TNCE-K9,2013-09-23
15454-M-TSCE-K9,2013-09-23
15454-OPT-AMP-C,2013-09-23
15454-OTU2-XP,2013-06-05
15454-SA-HD,2002-07-26
15454-SMR1-LIC,2013-09-23
15454-SMR2-LIC,2013-09-23
15454-TCC2P-K9,2002-07-26
15454-TCC3-K9,2002-07-26
15454-XC-VXC-10G,2002-07-26
15600-ASAP-1PIO,2004-02-16
CMC-M-M-16X4-EUN,2014-04-14
G4A2AA101A1BXXXA3X,1960-01-01
G5A2AA201A5BBBBB3X,1960-01-01
1X100GBE,2004-05-24
20X10GBE-WL-XFP,2004-05-24
2X100GE-FLEX-40,2004-05-24
8800-LC-36FH,2019-12-10
8800-LC-48H,2019-12-10
8808-FC,2019-12-10
8812-FC,2019-12-10
A900-IMA16D,2011-09-11
A900-IMA1C,2011-09-11
A900-IMA1X,2011-09-11
A900-IMA2F,2011-09-11
A900-IMA2Z,2011-09-11
A900-IMA32D,2011-09-11
A900-IMA3G-IMSG,2011-09-11
A900-IMA48D-C,2011-09-11
A900-IMA48T-C,2011-09-11
A900-IMA4OS,2011-09-11
A900-IMA6EM,2011-09-11
A900-IMA-8CS1Z,2018-02-22
A900-IMA8CS1Z-M,2011-09-11
A900-IMA8D,2011-09-11
A900-IMA8S,2011-09-11
A900-IMA8S1Z,2011-09-11
A900-IMA8T,2011-09-11
A900-IMA8T1Z,2011-09-11
A900-IMA8Z,2011-09-11
A900-IMASER14A/S,2011-09-11
A901-12C-F-D,2011-08-29
A901-12C-FT-D,2011-08-29
A901-4C-F-D,2011-08-29
A901-4C-FT-D,2011-08-29
A901-6CZ-F-A,2011-08-29
A901-6CZ-F-D,2011-08-29
A901-6CZ-FS-A,2011-08-29
A901-6CZ-FS-D,2011-08-29
A901-6CZ-FT-A,2011-08-29
A901-6CZ-FT-D,2011-08-29
A99-12X100GE,2008-11-11
A99-12X100GE-CM,2008-11-11
A99-16X100GE-X-SE,2008-11-11
A99-32X100GE-CM,2008-11-11
A99-32X100GE-TR,2008-11-11
A99-48X10GE-1G-SE,2008-11-11
A99-48X10GE-1G-TR,2008-11-11
A99-8X100GE-CM,2008-11-11
A99-8X100GE-SE,2008-11-11
A99-8X100GE-TR,2008-11-11
A99-RP2-SE,2008-11-11
A99-RP2-TR,2008-11-11
A99-RSP-SE,2008-11-11
A99-RSP-TR,2008-11-11
A99-SFC2,2008-11-11
A99-SFC-S,2008-11-11
A99-SFC-T,2008-11-11
A9K-16X100GE-CM,2008-11-11
A9K-16X100GE-TR,2008-11-11
A9K-20HG-FLEX-FC,2008-11-11
A9K-20HG-FLEX-SE,2008-11-11
A9K-24X10GE-1G-CM,2008-11-11
A9K-24X10GE-1G-SE,2008-11-11
A9K-24X10GE-1G-TR,2008-11-11
A9K-24X10GE-SE,2008-11-11
A9K-24X10GE-TR,2008-11-11
A9K-36X10GE-SE,2008-11-11
A9K-36X10GE-TR,2008-11-11
A9K-40GE-SE,2008-11-11
A9K-40GE-TR,2008-11-11
A9K-48X10GE-1G-CM,2008-11-11
A9K-48X10GE-1G-SE,2008-11-11
A9K-48X10GE-1G-TR,2008-11-11
A9K-4T16GE-SE,2008-11-11
A9K-4T16GE-TR,2008-11-11
A9K-4X100GE,2008-11-11
A9K-4X100GE-SE,2008-11-11
A9K-4X100GE-TR,2008-11-11
A9K-8HG-FLEX-FC,2008-11-11
A9K-8HG-FLEX-TR,2008-11-11
A9K-8X100GE-CM,2008-11-11
A9K-8X100GE-FC,2008-11-11
A9K-8X100GE-SE,2008-11-11
A9K-8X100GE-TR,2008-11-11
A9K-MOD160-SE,2008-11-11
A9K-MOD160-TR,2008-11-11
A9K-MOD200-SE,2008-11-11
A9K-MOD200-TR,2008-11-11
A9K-MOD400-CM,2008-11-11
A9K-MOD400-FC,2008-11-11
A9K-MOD400-SE,2008-11-11
A9K-MOD400-TR,2008-11-11
A9K-MOD80-SE,2008-11-11
A9K-MOD80-TR,2008-11-11
A9K-MPA-1X100GE,2008-11-11
A9K-MPA-1X40GE,2008-11-11
A9K-MPA-20X10GE,2008-11-11
A9K-MPA-20X1GE,2008-11-11
A9K-MPA-2X100GE,2008-11-11
A9K-MPA-2X10GE,2008-11-11
A9K-MPA-2X40GE,2008-11-11
A9K-MPA-32X1GE,2008-11-11
A9K-MPA-4X10GE,2008-11-11
A9K-MPA-8X10GE,2008-11-11
A9K-RSP880-LT-SE,2008-11-11
A9K-RSP880-LT-TR,2008-11-11
A9K-RSP880-SE,2008-11-11
A9K-RSP880-TR,2008-11-11
A9K-SIP-700,2008-11-11
A9K-VSM-500,2008-11-11
AIM2-CUE-K9,2003-10-02
AIM-CUE,2003-10-02
ASR1000-2T+20X1GE,2008-02-22
ASR1000-6TGE,2008-02-22
ASR1000-ESP100,1960-01-01
ASR1000-ESP100-X,1960-01-01
ASR1000-ESP20,1960-01-01
ASR1000-ESP200,1960-01-01
ASR1000-ESP200-X,1960-01-01
ASR1000-ESP40,1960-01-01
ASR1000-MIP100,2008-02-22
ASR1000-RP1,2008-02-22
ASR1000-RP2,2008-02-22
ASR1000-RP3,2008-02-22
ASR1000-SIP10,2008-02-22
ASR1000-SIP40,2008-02-22
ASR1000-SIP40-SB,2008-02-22
ASR1000X-AC-750W,2008-02-22
ASR1001-X,2008-02-22
ASR1001X-10G-K9,2008-02-22
ASR1001X-20G-K9,2008-02-22
ASR1001X-20G-VPN,2008-02-22
ASR1001X-5G-K9,2008-02-22
ASR1001X-5G-VPN,2008-02-22
ASR1001X-ACS,2008-02-22
ASR1001-X-DNA,2008-02-22
ASR1001-X-PWR-AC,2020-07-16
ASR1001-X-PWR-DC,2020-07-16
ASR1002-HX,2008-02-22
ASR1002HX-IPSECHW,2008-02-22
ASR1002-PWR-AC,2008-02-22
ASR1002-PWR-DC,2008-02-22
ASR1002-X,2008-02-22
ASR1002X-10G-HA-K9,2008-02-22
ASR1002X-10G-K9,2008-02-22
ASR1002X-10G-VPNK9,2008-02-22
ASR1002X-36G-NB,2008-02-22
ASR1002X-5G-K9,2008-02-22
ASR1002X-5G-SHAK9,2008-02-22
ASR1002X-5G-VPNK9,2008-02-22
ASR1002X-ACS,2008-02-22
ASR1002X-AIS-AX,2008-02-22
ASR1002X-CB,2008-02-22
ASR1002X-SB,2008-02-22
ASR1004,2008-02-22
ASR1006,2008-02-22
ASR1006-X,2008-02-22
ASR1009-X,2008-02-22
ASR1013,2008-02-22
ASR1013/06-PWR-AC,2008-02-22
ASR1013/06-PWR-DC,2008-02-22
ASR55-CHS-SYS,2010-06-04
ASR55-CHS-SYS-U,2010-06-04
ASR55-DPC2-K9,2010-06-04
ASR55-MIO-10GL2K9,2010-06-04
ASR55-MIO-10GS2K9,2010-06-04
ASR55-PFU,2010-06-04
ASR55-SSC,2010-06-04
ASR55-UDPC2-K9,2010-06-04
ASR55-UMIO-10L2K9,2010-06-04
ASR55-UMIO-10S2K9,2010-06-04
ASR-9001,2008-11-11
ASR-9001-2P-KIT,2008-11-11
ASR-9001-S,2008-11-11
ASR-9006-AC,2008-11-11
ASR-9006-DC,2008-11-11
ASR-9006-SYS,2008-11-11
ASR-9010-SYS,2008-11-11
ASR-907,2018-02-22
ASR-920-10SZ-PD,2014-06-30
ASR-920-12SZ-A,2014-06-30
ASR-920-12SZ-D,2014-06-30
ASR-920-12SZ-IM,2014-06-30
ASR-920-12SZ-IM-CC,2014-06-30
ASR-920-24SZ-IM,2014-06-30
ASR-920-24SZ-M,2014-06-30
ASR-920-24TZ-M,2014-06-30
ASR-920-8S4Z-PD,2014-06-30
ASR-9901,2008-11-11
ASR-9901-120G,2008-11-11
ASR-9901-256G,2008-11-11
ASR-9903,2008-11-11
ASR-9904,2008-11-11
ASR-9906,2008-11-11
ASR-9910,2008-11-11
ASR-9912,2008-11-11
ASR-9922,2008-11-11
C1101-4PLTEPWB,2017-10-06
C1101-4PLTEPWE,2017-10-06
C1111-4PLTEEA,2017-10-06
C1111-4PLTELA,2017-10-06
C1111-4PWA,2017-10-06
C1111-4PWB,2017-10-06
C1111-4PWE,2017-10-06
C1111-4PWH,2017-10-06
C1111-4PWQ,2017-10-06
C1111-4PWZ,2017-10-06
C1111-8PLTEEA,2017-10-06
C1111-8PLTEEA-DNA,2017-10-06
C1111-8PLTEEAWA,2017-10-06
C1111-8PLTEEAWB,2017-10-06
C1111-8PLTEEAWE,2017-10-06
C1111-8PLTELA,2017-10-06
C1111-8PLTELA-DNA,2017-10-06
C1111-8PLTELAWQ,2017-10-06
C1111-8PLTELAWZ,2017-10-06
C1111-8PWA,2017-10-06
C1111-8PWB,2017-10-06
C1111-8PWE,2017-10-06
C1111-8PWH,2017-10-06
C1111-8PWQ,2017-10-06
C1111-8PWZ,2017-10-06
C1112-8PLTEEA,2017-10-06
C1112-8PWE,2017-10-06
C1113-8PLTEEA,2017-10-06
C1113-8PLTEEAWA,2017-10-06
C1113-8PLTEEAWE,2017-10-06
C1113-8PMLTEEA,2017-10-06
C1113-8PMWE,2017-10-06
C1113-8PWB,2017-10-06
C1116-4PLTEEA,2017-10-06
C1116-4PLTEEAWE,2017-10-06
C1116-4PWE,2017-10-06
C1117-4PLTEEA,2017-10-06
C1117-4PLTEEAWE,2017-10-06
C1117-4PLTELA,2017-10-06
C1117-4PLTELAWZ,2017-10-06
C1117-4PMLTEEA,2017-10-06
C1117-4PMLTEEAWE,2017-10-06
C1117-4PMWE,2017-10-06
C1117-4PWA,2017-10-06
C1117-4PWE,2017-10-06
C1117-4PWZ,2017-10-06
C1118-8P,2017-10-06
C1121-8PLTEPWB,2017-10-06
C1121-8PLTEPWZ,2017-10-06
C1121X-8PLTEPWB,2017-10-06
C1121X-8PLTEPWZ,2017-10-06
C1-CISCO4321/K9,2009-10-13
C1-CISCO4331/K9,2009-10-13
C1-CISCO4431/K9,2009-10-13
C1-CISCO4451/K9,2009-10-13
C2901-AX/K9,2009-10-13
C2901-CME-SRST/K9,2009-10-13
C2911-AX/K9,2009-10-13
C2911-CME-SRST/K9,2009-10-13
C2911-IMGX-NSD-480,2009-10-13
C2911-IMGX-NSD-960,2009-10-13
C2911-VSEC/K9,2009-10-13
C2921-AX/K9,2009-10-13
C2921-CME-SRST/K9,2009-10-13
C2921-VSEC/K9,2009-10-13
C2921-VSEC-CUBE/K9,2009-10-13
C2951-CME-SRST/K9,2009-10-13
C3900-SPE250/K9,2009-10-13
C3925-CME-SRST/K9,2009-10-13
C3925E-CME-SRST/K9,2009-10-13
C3925E-VSEC-CUBEK9,2009-10-13
C3925-VSEC/K9,2009-10-13
C819HG-LTE-MNA-K9,1960-01-01
C819H-K9,1960-01-01
C819HWD-A-K9,1960-01-01
C819HWD-C-K9,1960-01-01
C819HWD-E-K9,1960-01-01
C8200-1N-4T,2021-01-25
C8300-1N1S-6T,2018-03-14
C8300-2N2S-4T2X,2018-03-14
C841M-4X/K9,1960-01-01
C841M-8X/K9,1960-01-01
C866VAE-K9,1960-01-01
